row_id,generation_method,plastic_type,replacement_pct,particle_size_mm,wc_ratio,additive_type,additive_pct,curing_temp_c,curing_days,compressive_strength_mpa,flexural_strength_mpa,split_tensile_mpa,density_kgm3,water_absorption_pct,thermal_conductivity_wm,durability_index,cement_kgm3,water_kgm3,fine_agg_kgm3,coarse_agg_kgm3,plastic_mass_kgm3,additive_mass_kgm3,co2_cement_kgm3,co2_water_kgm3,co2_sand_kgm3,co2_coarse_kgm3,co2_plastic_kgm3,co2_additive_kgm3,embodied_carbon_kgco2e_m3,baseline_concrete_co2,co2_saving_kgco2e_m3,co2_saving_pct,plastic_diversion_kg_m3,pet_bottle_equiv,is_516_grade,is_516_compliant,is_1237_compliant,is_1237_cs_margin_mpa,is_1237_wa_margin_pct,is_2185_pt1_compliant,is_2185_cs_margin_mpa,is_2185_pt2_compliant,is_5816_compliant,nbc_2016_structural,nbc_2016_nonstructural,bis_overall_pass,n_standards_passed,igbc_recycled_content_credit,igbc_regional_materials_credit,igbc_indoor_air_credit,igbc_total_credits,griha_embodied_energy_point,griha_waste_management_point,griha_material_criterion_pts,leed_bpdo_credit,leed_construction_waste_credit,leed_total_points,total_green_credits,score_carbon_component,score_plastic_diversion_comp,score_recycled_content_comp,score_bis_compliance_comp,score_green_rating_comp,sustainability_score,sustainability_grade,top_negative_factor,remediation_action_1,remediation_action_2,remediation_action_3,estimated_score_gain
M3_00001,physics_formula,PET,16.31,3.68,0.558,none,0.0,71.0,28,37.728,3.351,3.906,2265.2,7.204,0.964,58.17,383.0,213.71,569.09,1210.0,225.08,0.0,333.976,0.0641,2.7316,5.808,-297.103,0.0,45.4768,365.71,320.2332,87.5648,225.08,9003,M30,1,0,7.728,-6.204,1,34.228,0,1,1,0,1,4,1,1,0,2,1,1,2,1,1,2,6,30.0,25.0,8.155,8.571,8.571,80.3,A,sustainability_score,Increase replacement_pct from 16.31% to 21.31%,Switch additive_type to silica_fume if not already,Extend curing_days to 28 for maximum strength gain,3.0
M3_00002,physics_formula,PP,25.37,6.61,0.412,none,0.0,64.5,28,38.859,3.729,3.683,2049.5,3.721,0.7753,74.76,383.0,157.8,507.48,1210.0,229.6,0.0,333.976,0.0473,2.4359,5.808,-270.9262,0.0,71.341,365.71,294.369,80.4925,229.6,9183,M30,1,0,8.859,-2.721,1,35.359,0,0,1,0,1,3,1,0,0,1,1,1,2,1,1,2,5,30.0,25.0,12.685,6.429,7.143,81.26,A,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00003,physics_formula,PP,26.69,3.2,0.467,fibres,8.26,56.2,28,35.174,5.127,3.356,1970.9,5.41,0.7162,71.49,351.36,164.09,498.51,1210.0,241.54,31.64,306.3896,0.0492,2.3928,5.808,-285.0225,0.0,29.6171,365.71,336.0929,91.9015,241.54,9661,M30,1,0,5.174,-4.41,1,31.674,0,0,1,0,1,3,1,0,0,1,1,1,2,1,1,2,5,30.0,25.0,13.345,6.429,7.143,81.92,A,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00004,physics_formula,HDPE,24.45,12.05,0.453,fibres,25.81,28.4,56,32.463,4.966,3.218,2043.1,4.375,0.7656,68.38,284.15,128.72,513.74,1210.0,234.72,98.85,247.7768,0.0386,2.466,5.808,-281.664,0.0,-25.5746,365.71,391.2846,106.9931,234.72,9388,M30,1,0,2.463,-3.375,1,28.963,0,0,1,0,1,3,1,1,0,2,1,1,2,1,1,2,6,30.0,25.0,12.225,6.429,8.571,82.22,A,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00005,physics_formula,LDPE,5.13,16.96,0.418,silica_fume,16.21,32.8,28,41.299,3.84,4.218,2267.9,3.656,1.081,80.84,320.92,134.14,645.12,1210.0,47.2,62.08,279.8385,0.0402,3.0966,5.808,-58.995,0.8692,230.6575,365.71,135.0525,36.9289,47.2,1887,M30,1,0,11.299,-2.656,1,37.799,0,1,1,0,1,4,0,0,0,0,1,0,1,0,0,0,1,20.061,5.9,2.565,8.571,1.429,38.53,D,replacement_pct,Increase replacement_pct to 15%: diversion reaches ~83 kg/m3,Switch to Mixed plastic type for higher volume at lower cost,Use larger particle_size to maintain workability at higher pct,6.0
M3_00006,physics_formula,Mixed,16.97,5.16,0.425,silica_fume,6.24,47.0,28,37.92,4.367,4.026,2126.6,3.949,1.0509,67.39,359.1,152.62,564.6,1210.0,186.67,23.9,313.1359,0.0458,2.7101,5.808,-205.337,0.3346,116.6974,365.71,249.0126,68.0902,186.67,7466,M30,1,0,7.92,-2.949,1,34.42,0,1,1,0,1,4,1,1,0,2,1,1,2,1,1,2,6,27.252,23.334,8.485,8.571,8.571,76.21,B,sustainability_score,Increase replacement_pct from 16.97% to 21.97%,Switch additive_type to silica_fume if not already,Extend curing_days to 28 for maximum strength gain,3.0
M3_00007,physics_formula,Mixed,27.06,12.54,0.516,silica_fume,9.68,35.0,56,28.615,2.669,2.643,2124.0,4.096,0.7582,60.94,345.93,178.5,495.99,1210.0,297.66,37.07,301.6471,0.0535,2.3808,5.808,-327.426,0.519,-17.0175,365.71,382.7275,104.6533,297.66,11906,M25,1,0,-1.385,-3.096,1,25.115,0,0,1,0,1,3,1,1,0,2,1,1,2,1,1,2,6,30.0,25.0,13.53,6.429,8.571,83.53,A,water_absorption_pct,Reduce wc_ratio from current to 0.40 to cut water absorption,Increase additive to 15% silica_fume to densify matrix,Reduce replacement_pct by 5-10% to boost CS above 30 MPa,8.0
M3_00008,physics_formula,Mixed,22.18,12.21,0.415,silica_fume,7.74,46.7,7,34.708,3.134,3.357,2132.5,3.117,0.8896,59.07,353.36,146.64,529.18,1210.0,243.98,29.64,308.1263,0.044,2.54,5.808,-268.378,0.415,48.5553,365.71,317.1547,86.723,243.98,9759,M30,1,0,4.708,-2.117,1,31.208,0,0,1,0,1,3,1,1,0,2,1,1,2,1,1,2,6,30.0,25.0,11.09,6.429,8.571,81.09,A,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00009,physics_formula,LDPE,25.19,3.95,0.47,fibres,13.91,46.9,14,29.484,4.151,2.921,2054.7,5.188,0.7169,61.12,329.72,154.97,508.71,1210.0,231.75,53.28,287.5199,0.0465,2.4418,5.808,-289.685,0.0,6.1312,365.71,359.5788,98.3235,231.75,9269,M25,1,0,-0.516,-4.188,1,25.984,0,0,1,0,1,3,1,0,0,1,1,1,2,1,1,2,5,30.0,25.0,12.595,6.429,7.143,81.17,A,water_absorption_pct,Reduce wc_ratio from current to 0.40 to cut water absorption,Increase additive to 15% silica_fume to densify matrix,Reduce replacement_pct by 5-10% to boost CS above 30 MPa,8.0
M3_00010,physics_formula,PVC,19.15,8.79,0.531,silica_fume,15.2,32.1,28,32.416,2.983,3.483,2186.7,5.172,0.9427,73.66,324.78,172.46,549.78,1210.0,268.1,58.22,283.2116,0.0517,2.6389,5.808,-254.695,0.815,37.8304,365.71,327.8796,89.6556,268.1,10723,M30,1,0,2.416,-4.172,1,28.916,0,1,1,0,1,4,1,0,0,1,1,1,2,1,1,2,5,30.0,25.0,9.575,8.571,7.143,80.29,A,sustainability_score,Increase replacement_pct from 19.15% to 24.15%,Switch additive_type to silica_fume if not already,Extend curing_days to 28 for maximum strength gain,3.0
