plastic_type,plastic_type_enc,replacement_pct,particle_size_mm,wc_ratio,additive_type,additive_type_enc,additive_pct,curing_temp_c,curing_days,compressive_strength_mpa,flexural_strength_mpa,split_tensile_mpa,density_kgm3,water_absorption_pct,thermal_conductivity_wm,durability_index,score_paving_block_light,suitable_paving_block_light,score_paving_block_heavy,suitable_paving_block_heavy,score_floor_tile_indoor,suitable_floor_tile_indoor,score_floor_tile_outdoor,suitable_floor_tile_outdoor,score_hollow_concrete_block,suitable_hollow_concrete_block,score_lightweight_partition_block,suitable_lightweight_partition_block,score_structural_concrete,suitable_structural_concrete,score_nonstructural_concrete_fill,suitable_nonstructural_concrete_fill,score_plastic_sand_paver,suitable_plastic_sand_paver,score_wall_cladding_panel,suitable_wall_cladding_panel,score_thermal_insulation_panel,suitable_thermal_insulation_panel,score_kerb_stone,suitable_kerb_stone,primary_application
Mixed,5,4.5,15.0,0.42,fly_ash,1,22.1,60.6,72,38.47,5.34,3.98,2339.4,2.72,0.921,100.0,97.33,1,68.9,1,61.62,1,49.68,0,100.0,1,66.58,1,86.47,1,85.39,1,75.0,1,66.49,1,49.61,0,96.72,1,hollow_concrete_block
PET,0,23.6,1.1,0.38,fly_ash,1,15.2,21.6,28,18.74,2.48,1.98,2107.2,6.06,0.658,62.9,64.72,1,39.19,0,29.34,0,23.66,0,100.0,1,74.25,1,69.3,1,87.08,1,55.79,1,72.64,1,60.97,1,53.77,0,hollow_concrete_block
Mixed,5,26.0,11.1,0.42,silica_fume,2,24.3,20.4,23,14.34,1.84,1.23,2034.4,3.64,0.539,79.6,71.31,1,41.03,0,26.27,0,20.18,0,100.0,1,79.4,1,61.05,1,87.7,1,54.12,0,80.17,1,69.36,1,58.74,1,hollow_concrete_block
Mixed,5,16.9,5.9,0.41,silica_fume,2,3.1,42.8,48,20.61,2.91,1.78,2122.4,4.77,0.689,84.5,74.17,1,44.71,0,33.48,0,26.93,0,100.0,1,73.2,1,79.05,1,86.96,1,62.48,1,73.27,1,59.26,1,62.06,1,hollow_concrete_block
LDPE,2,24.1,16.2,0.57,none,0,0.0,78.4,51,10.82,1.43,0.96,2060.9,6.33,0.586,71.7,54.18,0,32.73,0,18.61,0,14.6,0,100.0,1,77.16,1,55.05,1,87.47,1,43.92,0,75.29,1,65.66,1,44.44,0,hollow_concrete_block
PET,0,22.1,16.7,0.54,silica_fume,2,17.3,62.3,8,9.85,1.44,0.59,2095.8,3.99,0.705,68.8,62.06,1,35.5,0,20.13,0,15.26,0,100.0,1,73.0,1,55.19,1,87.18,1,48.13,0,72.87,1,58.59,1,50.55,0,hollow_concrete_block
Mixed,5,9.1,6.1,0.37,fly_ash,1,26.0,42.8,61,35.54,4.89,3.26,2214.7,3.45,0.916,97.3,95.39,1,62.4,1,55.49,1,45.03,0,100.0,1,67.62,1,95.33,1,86.26,1,75.0,1,67.1,1,50.23,0,87.49,1,hollow_concrete_block
Mixed,5,33.4,3.7,0.46,silica_fume,2,21.1,61.0,12,7.74,1.18,0.7,1912.2,5.05,0.551,63.1,51.93,0,30.13,0,15.97,0,12.14,0,100.0,1,80.12,1,37.09,0,88.83,1,45.32,0,80.19,1,69.02,1,42.2,0,hollow_concrete_block
PP,4,25.4,10.9,0.42,fibres,3,11.4,79.4,84,23.04,3.13,2.37,2012.2,6.38,0.61,84.5,71.3,1,44.13,0,35.04,0,28.62,0,100.0,1,76.74,1,75.22,1,87.89,1,59.98,1,74.37,1,64.28,1,60.17,1,hollow_concrete_block
Mixed,5,22.3,13.8,0.6,none,0,0.0,33.7,7,4.19,0.83,0.69,2069.1,6.42,0.684,55.4,43.2,0,25.44,0,10.42,0,7.81,0,88.9,1,66.76,1,40.41,0,65.33,1,34.66,0,60.13,1,59.75,1,34.53,0,hollow_concrete_block
