wc_ratio,additive_type,additive_pct,plastic_type,replacement_pct,particle_size_mm,curing_temp_c,curing_days,compressive_strength_mpa,flexural_strength_mpa,split_tensile_mpa,density_kgm3,water_absorption_pct,thermal_conductivity_wm,durability_index,source_doi,study_type,mix_id
0.3,none,0.0,None,0.0,,20.0,28.0,79.99,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00000
0.3,none,0.0,None,0.0,,20.0,28.0,61.89,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00001
0.6857142857142857,none,0.0,None,0.0,,20.0,270.0,40.27,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00002
0.6857142857142857,none,0.0,None,0.0,,20.0,365.0,41.05,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00003
0.9667673716012085,none,0.0,None,0.0,,20.0,360.0,44.3,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00004
0.8571428571428571,none,0.0,None,0.0,,20.0,90.0,47.03,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00005
0.6,none,0.0,None,0.0,,20.0,365.0,43.7,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00006
0.6,none,0.0,None,0.0,,20.0,28.0,36.45,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00007
0.8571428571428571,none,0.0,None,0.0,,20.0,28.0,45.85,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00008
0.48,none,0.0,None,0.0,,20.0,28.0,39.29,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00009
0.9667673716012085,none,0.0,None,0.0,,20.0,90.0,38.07,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00010
0.9667673716012085,none,0.0,None,0.0,,20.0,28.0,28.02,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00011
0.5333333333333333,none,0.0,None,0.0,,20.0,270.0,43.01,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00012
1.2,none,0.0,None,0.0,,20.0,90.0,42.33,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00013
0.75,none,0.0,None,0.0,,20.0,28.0,47.81,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00014
0.6,none,0.0,None,0.0,,20.0,90.0,52.91,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00015
1.3753581661891119,none,0.0,None,0.0,,20.0,90.0,39.36,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00016
0.6666666666666666,none,0.0,None,0.0,,20.0,365.0,56.14,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00017
0.6,none,0.0,None,0.0,,20.0,90.0,40.56,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00018
0.48,none,0.0,None,0.0,,20.0,180.0,42.62,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00019
0.5333333333333333,none,0.0,None,0.0,,20.0,180.0,41.84,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00020
1.3753581661891119,none,0.0,None,0.0,,20.0,28.0,28.24,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00021
1.3753581661891119,none,0.0,None,0.0,,20.0,3.0,8.06,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00022
1.3753581661891119,none,0.0,None,0.0,,20.0,180.0,44.21,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00023
0.6,none,0.0,None,0.0,,20.0,365.0,52.52,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00024
0.6,none,0.0,None,0.0,,20.0,270.0,53.3,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00025
0.6,none,0.0,None,0.0,,20.0,270.0,41.15,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00026
0.6666666666666666,none,0.0,None,0.0,,20.0,180.0,52.12,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00027
0.5333333333333333,none,0.0,None,0.0,,20.0,28.0,37.43,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00028
0.48,none,0.0,None,0.0,,20.0,7.0,38.6,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00029
0.75,none,0.0,None,0.0,,20.0,365.0,55.26,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00030
0.8571428571428571,none,0.0,None,0.0,,20.0,365.0,52.91,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00031
0.9667673716012085,none,0.0,None,0.0,,20.0,180.0,41.72,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00032
0.48,none,0.0,None,0.0,,20.0,270.0,42.13,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00033
1.2,none,0.0,None,0.0,,20.0,365.0,53.69,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00034
0.96,none,0.0,None,0.0,,20.0,270.0,38.41,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00035
0.96,none,0.0,None,0.0,,20.0,28.0,30.08,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00036
0.6857142857142857,none,0.0,None,0.0,,20.0,90.0,37.72,,,,,,,10.1061/(ASCE)0899-1561(1998)10:1(52),pretraining,mix_00037
