Plastic type,Replacement %,Particle size (mm),w/c ratio,Additive type,Additive %,Curing temperature (°C),Curing duration (days),Compressive strength (MPa),Flexural strength (MPa),Split tensile strength (MPa),Density (kg/m³),Water absorption (%),Thermal conductivity (W/m·K),Durability index
PP,0.0,19.0,0.45,none,0.0,20.0,28.0,25.3,3.47,2.11,2367.0,3.0,1.35,43.8
PP,10.0,19.0,0.45,none,0.0,20.0,28.0,27.7,4.15,2.6,2320.0,3.5,1.17,43.5
PP,20.0,19.0,0.45,none,0.0,20.0,28.0,21.5,3.28,1.91,2230.0,4.0,0.99,36.3
PP,30.0,19.0,0.45,none,0.0,20.0,28.0,19.9,2.89,1.77,2168.0,4.5,0.81,32.8
PP,0.0,19.0,0.55,none,0.0,20.0,28.0,14.4,2.46,1.52,2310.0,4.0,1.35,30.4
PP,10.0,19.0,0.55,none,0.0,20.0,28.0,25.3,4.11,2.42,2254.0,4.5,1.17,36.8
PP,20.0,19.0,0.55,none,0.0,20.0,28.0,15.9,2.33,1.44,2178.0,5.0,0.99,27.1
PP,30.0,19.0,0.55,none,0.0,20.0,28.0,14.6,2.14,1.32,2096.0,5.5,0.81,23.8
PP,0.0,19.0,0.45,none,0.0,20.0,28.0,23.5,3.1,1.97,2075.0,3.0,1.35,42.4
PP,10.0,19.0,0.45,none,0.0,20.0,28.0,24.9,3.21,1.97,2020.0,3.5,1.17,41.3
PP,20.0,19.0,0.45,none,0.0,20.0,28.0,18.8,2.6,1.66,1980.0,4.0,0.99,34.1
PP,30.0,19.0,0.45,none,0.0,20.0,28.0,15.5,2.14,1.37,1940.0,4.5,0.81,29.3
PP,0.0,19.0,0.55,none,0.0,20.0,28.0,18.6,2.47,1.56,2030.0,4.0,1.35,33.7
PP,10.0,19.0,0.55,none,0.0,20.0,28.0,18.7,2.5,1.57,1985.0,4.5,1.17,31.6
PP,20.0,19.0,0.55,none,0.0,20.0,28.0,15.3,2.07,1.36,1935.0,5.0,0.99,26.6
PP,30.0,19.0,0.55,none,0.0,20.0,28.0,14.6,1.97,1.3,1879.0,5.5,0.81,23.8
PET,0.5,10.0,0.36,none,0.0,20.0,28.0,35.5,4.8,4.4,2378.2,2.05,1.309,58.5
PET,0.75,10.0,0.36,none,0.0,20.0,28.0,32.5,4.6,4.1,2377.9,2.02,1.304,56.2
PET,1.0,10.0,0.36,none,0.0,20.0,28.0,30.0,4.3,3.8,2377.5,2.0,1.298,54.2
PET,1.25,10.0,0.36,none,0.0,20.0,28.0,26.0,3.8,3.4,2377.1,1.98,1.292,51.0
PET,0.75,10.0,0.36,none,0.0,20.0,28.0,42.78,6.71,5.27,2377.9,2.02,1.304,64.4
PET,1.0,10.0,0.36,none,0.0,20.0,28.0,39.5,5.8,4.7,2377.5,2.0,1.298,61.8
PET,1.25,10.0,0.36,none,0.0,20.0,28.0,38.5,5.5,4.5,2377.1,1.98,1.292,61.0
PET,1.5,10.0,0.36,none,0.0,20.0,28.0,35.0,4.9,4.1,2376.8,1.95,1.287,58.2
PET,1.0,10.0,0.36,none,0.0,20.0,28.0,32.5,4.7,4.1,2377.5,2.0,1.298,56.2
PET,1.25,10.0,0.36,none,0.0,20.0,28.0,30.0,4.2,3.8,2377.1,1.98,1.292,54.2
PET,1.5,10.0,0.36,none,0.0,20.0,28.0,29.0,4.0,3.6,2376.8,1.95,1.287,53.4
PET,1.75,10.0,0.36,none,0.0,20.0,28.0,26.5,3.7,3.3,2376.4,1.93,1.282,51.5
PET,1.25,10.0,0.36,none,0.0,20.0,28.0,35.0,3.8,3.5,2377.1,1.98,1.292,58.2
PET,1.5,10.0,0.36,none,0.0,20.0,28.0,26.5,3.5,3.2,2376.8,1.95,1.287,51.4
PET,1.75,10.0,0.36,none,0.0,20.0,28.0,30.5,3.2,3.1,2376.4,1.93,1.282,54.7
PET,2.0,10.0,0.36,none,0.0,20.0,28.0,25.5,2.9,3.0,2376.0,1.9,1.276,50.7
PET,3.97,7.67,0.418,silica fume,8.5,31.4,55.8,69.59,6.12,7.04,2335.9,2.08,1.29,78.0
PET,4.92,1.3,0.446,none,0.0,57.9,89.5,77.93,6.43,6.23,2355.5,2.43,1.213,69.3
PET,4.88,8.76,0.513,none,0.0,48.1,89.7,78.42,5.72,6.68,2293.7,3.32,1.286,61.5
PET,0.16,2.28,0.608,GGBS,19.5,22.5,28.4,40.13,4.59,3.53,2325.9,3.73,1.3,52.7
PET,4.2,0.52,0.468,silica fume,5.6,19.5,7.2,20.69,3.03,1.81,2376.8,2.32,1.209,50.3
PET,1.48,1.39,0.618,none,0.0,20.6,6.6,15.69,2.81,1.3,2336.2,4.09,1.332,32.4
PET,4.81,2.68,0.473,silica fume,12.8,49.4,13.5,30.91,3.82,2.42,2354.8,1.88,1.255,58.6
PET,2.67,5.55,0.539,none,0.0,24.3,56.0,54.6,5.49,5.81,2359.7,3.4,1.249,59.0
PET,4.84,3.83,0.484,fly ash,11.7,19.1,7.3,20.49,2.69,1.57,2366.7,2.81,1.181,45.3
PET,4.33,2.71,0.479,fly ash,14.8,30.2,27.9,43.98,4.22,3.61,2365.9,2.67,1.177,58.1
PET,4.63,6.5,0.464,GGBS,23.0,18.8,56.1,66.71,5.6,6.53,2327.0,2.08,1.268,70.4
PET,1.67,5.25,0.475,GGBS,14.0,19.3,13.8,31.14,4.05,2.71,2332.6,2.64,1.268,53.7
PET,2.76,8.22,0.394,none,0.0,19.2,6.9,19.44,3.01,1.75,2360.1,2.47,1.318,53.4
PET,1.27,9.37,0.49,none,0.0,21.7,55.5,62.68,5.67,5.23,2386.4,3.45,1.26,66.4
PET,3.09,0.54,0.502,fly ash,20.4,27.5,28.3,46.28,4.06,4.93,2355.4,3.0,1.223,65.0
PET,1.4,2.54,0.453,none,0.0,33.1,28.2,46.44,5.71,5.09,2354.7,2.97,1.295,64.9
PET,2.1,8.34,0.596,fly ash,25.3,19.8,13.9,28.59,3.46,3.07,2333.1,3.8,1.268,44.4
PET,3.38,11.42,0.467,GGBS,29.9,38.5,7.4,22.15,3.24,1.86,2361.6,2.05,1.235,45.9
PET,3.64,0.95,0.381,GGBS,18.1,23.6,55.9,77.49,6.2,6.36,2349.8,1.87,1.239,76.9
PET,1.41,0.77,0.414,fly ash,15.6,21.2,7.2,23.57,3.17,1.78,2349.2,2.64,1.321,51.7
PET,2.34,1.07,0.574,fly ash,26.7,27.4,55.7,58.52,5.42,5.81,2338.8,4.0,1.159,66.6
PET,3.95,3.67,0.35,GGBS,11.5,36.2,90.0,85.0,7.91,7.19,2343.1,1.21,1.118,77.3
PET,4.6,3.21,0.499,silica fume,5.2,37.2,28.0,49.73,5.04,4.37,2340.8,2.75,1.211,67.9
PET,3.25,0.85,0.395,GGBS,24.1,18.7,55.8,74.2,6.86,7.59,2316.1,1.67,1.219,70.7
PET,1.2,1.28,0.42,GGBS,22.7,73.9,89.6,84.17,7.35,6.54,2336.1,1.82,1.298,73.8
PET,0.56,10.7,0.396,none,0.0,40.6,13.9,33.36,4.13,2.56,2387.4,2.48,1.339,57.8
PET,4.79,8.81,0.35,none,0.0,25.5,27.9,55.8,5.56,5.64,2352.6,1.59,1.179,73.7
PET,2.84,3.65,0.417,silica fume,6.5,47.0,7.1,23.84,3.29,2.5,2341.7,2.02,1.386,56.4
PET,1.95,2.66,0.479,none,0.0,22.0,28.2,40.77,4.23,4.48,2356.6,3.21,1.261,57.7
PET,1.41,2.16,0.384,fly ash,16.3,23.6,6.9,23.27,3.3,2.03,2338.4,1.76,1.262,58.4
PET,3.89,1.43,0.616,fly ash,16.4,46.7,56.5,52.47,5.48,5.61,2343.1,3.9,1.211,60.1
PET,3.57,10.15,0.456,silica fume,20.0,54.2,28.2,52.89,4.8,5.55,2335.7,2.17,1.249,76.7
PET,3.49,0.62,0.407,none,0.0,18.6,28.3,46.88,4.89,4.38,2354.6,1.97,1.197,75.6
PET,4.17,14.31,0.499,fly ash,10.7,42.2,7.2,21.18,2.94,2.01,2347.6,3.29,1.2,45.1
PET,2.76,2.27,0.407,silica fume,14.3,19.2,55.6,82.37,5.98,8.0,2311.1,2.06,1.224,73.6
PET,4.51,1.23,0.35,none,0.0,31.2,28.1,53.64,5.6,5.22,2344.0,1.03,1.281,71.2
PET,4.15,0.98,0.418,fly ash,17.2,32.1,28.3,52.33,4.96,4.98,2315.3,2.03,1.152,73.1
PET,2.62,6.72,0.477,fly ash,12.5,26.8,90.0,74.34,6.93,6.91,2316.4,3.17,1.219,69.1
PET,1.3,2.11,0.581,fly ash,25.9,29.7,27.9,42.47,4.4,4.55,2321.6,4.01,1.258,58.7
PET,4.77,6.06,0.61,fly ash,21.3,22.4,13.6,24.48,2.96,2.31,2325.1,3.53,1.164,48.5
PET,0.85,4.4,0.493,fly ash,22.4,26.6,6.6,20.33,3.08,1.63,2340.5,2.99,1.263,40.5
PET,3.69,5.9,0.459,none,0.0,36.2,27.6,45.79,4.9,3.65,2325.6,3.01,1.28,64.6
PET,3.01,1.24,0.566,silica fume,19.3,29.4,3.0,9.66,1.88,1.03,2353.7,3.32,1.283,31.6
PET,4.62,2.83,0.488,none,0.0,31.4,55.8,58.8,5.79,5.23,2304.8,2.89,1.263,63.2
PET,0.16,1.67,0.437,silica fume,12.1,29.4,56.4,72.62,6.49,6.13,2326.4,2.04,1.352,77.5
PET,4.92,7.98,0.557,none,0.0,27.5,7.1,17.48,2.62,1.44,2302.1,3.5,1.143,36.7
PET,2.98,9.92,0.514,fly ash,20.0,43.4,27.8,48.94,5.2,5.06,2332.9,3.41,1.257,66.0
PET,2.28,4.18,0.448,GGBS,18.1,22.4,14.3,33.72,4.02,3.65,2304.1,2.05,1.292,54.3
PET,2.1,2.16,0.485,none,0.0,75.6,7.4,22.38,3.67,2.26,2350.5,3.38,1.223,45.9
PET,2.23,0.87,0.44,none,0.0,40.2,27.6,45.91,5.09,3.91,2330.0,2.27,1.253,64.4
PET,0.72,1.78,0.35,fly ash,25.4,26.3,27.5,58.66,5.65,4.72,2322.5,1.7,1.317,72.3
PET,3.76,5.75,0.65,fly ash,14.7,60.4,27.8,43.25,4.06,3.99,2341.3,4.32,1.273,50.0
PET,3.2,0.53,0.396,silica fume,17.5,66.0,14.0,40.61,4.58,3.86,2375.0,1.53,1.356,66.4
PET,0.59,0.53,0.482,none,0.0,26.2,56.2,61.16,5.77,4.92,2339.7,3.21,1.269,63.1
PET,1.64,1.42,0.572,none,0.0,46.8,89.9,71.48,5.88,6.06,2363.1,3.97,1.318,63.1
