plastic_type,additive_type,replacement_pct,particle_size_mm,wc_ratio,additive_pct,curing_temp_c,curing_days,pred_cs_mpa,pred_cost_inr,pred_co2_kgco2e,topsis_rank
LDPE,fibres,18.37330792286985,5.640884792877073,0.40629506402505366,26.4165431683376,21.671805936390125,83,27.770156860351562,4630.4169921875,253.21885681152344,62
PVC,none,0.714557417401352,3.752716346289014,0.35203791343599167,21.46571967847253,22.33859973583402,89,67.04098510742188,6748.96826171875,349.58251953125,12
LDPE,fibres,37.4450919881084,7.448254963750422,0.4063061295023264,22.810418667167866,20.921049209877268,33,10.381890296936035,4748.80615234375,172.22093200683594,80
PVC,none,1.6640373853021604,3.4699121234960897,0.35203791343599167,23.85006187655827,22.126406541461503,89,69.67631530761719,6920.224609375,342.9039611816406,4
PVC,none,1.6640373853021604,3.475577169150983,0.35172883024636326,26.808024405474246,22.182897311271283,89,67.47847747802734,7101.19091796875,340.94464111328125,11
PVC,fibres,38.93290372034534,7.608849427448322,0.38727552988630337,17.98965490902711,38.42479419883847,34,10.498608589172363,6256.91796875,130.2378387451172,74
PVC,none,36.509192906202586,7.608849427448322,0.411176997708437,1.025983646558516,31.698270920832947,89,12.482053756713867,5611.83251953125,151.0655517578125,77
PP,fibres,7.05059041934812,3.7240412623967685,0.35238327292910754,23.85270054527049,22.177602346444658,89,46.47697830200195,5120.34912109375,303.09564208984375,30
PVC,fibres,10.001600647653058,3.7236473082354853,0.35200063862818226,23.868871688471327,22.007946028186716,23,40.365570068359375,5283.9814453125,276.3141784667969,39
HDPE,none,15.482833838890798,1.7599001144930608,0.3513569449471053,18.27306780408199,42.88089038334013,88,41.15252685546875,5903.0068359375,263.9620666503906,34
PVC,none,38.40794779930173,7.338369794999026,0.35209454746936886,26.126234700392768,31.401329319410404,52,25.370389938354492,7006.306640625,153.67189025878906,60
PVC,silica_fume,5.0398352527979275,3.4398003029357933,0.3518230184446177,23.8445453059345,31.467938084757588,82,49.19974899291992,5404.80029296875,310.36431884765625,26
HDPE,none,11.186150248099313,3.255981489570745,0.35006621401688526,23.935347299472028,25.60914501416024,81,57.03992462158203,6337.22119140625,289.5415954589844,13
LDPE,none,38.93290372034534,7.604177603502462,0.373733120178972,1.5866785510434074,31.103450874371042,61,13.986655235290527,4918.15185546875,165.13421630859375,73
PVC,fibres,25.632915214950035,7.705130139017761,0.35069840892911536,17.98965490902711,38.42479419883847,87,29.55923080444336,5687.44873046875,192.8439178466797,54
PVC,silica_fume,1.9315903042095286,3.470081652745585,0.3520134820811122,23.849992431493263,31.467938084757588,89,52.33016586303711,5400.51171875,333.4988708496094,24
PET,none,28.809459393686172,1.7099352783742,0.35411790353362826,2.018877849735979,30.471230423919245,89,30.921573638916016,5243.4248046875,211.3745574951172,52
PP,none,5.79953668005286,3.7184173308994897,0.35287284554810666,22.716441611596373,27.750684436995964,89,64.24651336669922,6628.1259765625,315.8798828125,3
PVC,fibres,7.208887066571974,5.871605438789494,0.3516534088782366,23.767914646927682,22.855123598921704,87,42.63322067260742,5177.791015625,295.26873779296875,33
LDPE,fibres,3.796214126224612,2.1196219760417874,0.35170739164397957,15.28369601760971,21.754425939739793,87,43.334598541259766,4862.04638671875,325.22027587890625,35
PVC,none,17.89094606544362,5.642144429948074,0.35161723305955256,23.870064421951614,21.714096753205574,83,45.05963134765625,6583.0673828125,248.61509704589844,29
LDPE,none,13.854060710493435,1.7599001144930608,0.35216456655749956,18.27306780408199,42.88089038334013,88,46.39258575439453,5854.13134765625,269.585205078125,28
PP,none,9.803093541637153,3.745997192536191,0.3503650760034744,25.20582826884421,22.137822373643605,89,63.89440155029297,6662.9345703125,300.3262634277344,1
PVC,none,3.5373807042188403,3.527802277147194,0.3530388968819399,21.28613373872362,21.40225670755514,89,65.37062072753906,6619.0810546875,328.057861328125,5
LDPE,none,38.40794779930173,7.309300761222029,0.352087164896782,26.802152779765446,31.20087152226462,52,23.32052993774414,6240.25146484375,178.71580505371094,65
PVC,none,38.54066584638445,7.604177603502462,0.37811349975618175,24.514589710508666,41.23654911484588,52,17.55211639404297,7072.3349609375,142.04136657714844,69
PVC,silica_fume,25.630231180629416,2.900258027894018,0.35137524087876376,20.201853582155834,31.429325764824913,89,33.430084228515625,5736.21044921875,203.75341796875,48
LDPE,none,13.597415114497213,2.8379009688724066,0.3518543003743021,20.24578265222943,27.841618683152106,88,48.19059753417969,5945.3388671875,281.7463684082031,25
PVC,fibres,18.594653452793462,1.7923246353428395,0.3510101587160658,24.37096662924654,21.66721481169255,89,38.22763442993164,5520.19482421875,234.80738830566406,38
PP,silica_fume,1.5100452895414929,2.1921044932580145,0.35102057829215566,26.719099739819953,21.652429355221486,89,50.9321403503418,5169.08544921875,338.39324951171875,27
PP,none,2.940379985360387,3.5126076512113595,0.35205187634119,14.826819603888328,20.689412595843965,89,59.82279968261719,6110.56982421875,336.13909912109375,18
PET,none,36.63454012583593,1.7099352783742,0.36430915200273883,4.258531071338422,30.471230423919245,89,22.968021392822266,5347.11962890625,185.94509887695312,64
HDPE,none,29.701966740344147,1.7099352783742,0.3510640798633539,21.017877443503025,31.528635115593957,89,34.968040466308594,6088.98388671875,213.88339233398438,47
PVC,none,18.853512070793304,5.834895587676384,0.3530312498945586,25.5682797849682,24.78500267734441,87,44.08362579345703,6762.1865234375,244.87818908691406,31
LDPE,fibres,36.64670435965876,3.2480089964412535,0.3603365768730972,26.035209437588353,21.74534730878651,89,20.581729888916016,4839.69873046875,186.7821044921875,66
PVC,fibres,18.37718969667676,1.694526995869298,0.3502329701557755,18.018858343282364,25.421281568864913,87,36.09443664550781,5476.66015625,235.50857543945312,46
LDPE,none,13.597415114497213,2.8379009688724066,0.35012805807584485,0.1765667488024274,27.841618683152106,84,39.87538146972656,5025.8056640625,273.9849853515625,40
PVC,fibres,39.023870238911144,7.136857422796757,0.38534851481261206,17.960137462713423,42.76692404077375,87,11.327219009399414,6277.26416015625,136.15126037597656,76
PVC,silica_fume,20.65345763196154,5.17186569357104,0.35104056863197025,26.719786397781647,21.637142113441,87,37.00509262084961,5624.83349609375,231.57557678222656,43
LDPE,none,11.022311433680859,2.935044389798308,0.3518543003743021,20.24578265222943,27.726067234466164,88,55.2939453125,5958.8037109375,287.7959899902344,15
HDPE,silica_fume,25.756031876188718,1.7364507346561187,0.3518600785633119,21.523898037382487,31.479047142911188,89,34.71198654174805,4949.41357421875,220.260009765625,44
LDPE,fibres,37.37693085363169,6.9181720727427045,0.355366012623279,1.8610356412331193,20.283581605408028,33,17.91729164123535,4812.9755859375,175.4723663330078,68
PVC,none,1.6640373853021604,3.4699121234960897,0.35203791343599167,23.85006187655827,22.126406541461503,89,69.64106750488281,6937.046875,342.85723876953125,6
PVC,silica_fume,25.630231180629416,2.539243126145984,0.352769024856489,20.82444860366278,31.429325764824913,89,34.45660400390625,5774.60693359375,202.63807678222656,45
LDPE,fibres,18.661002405252287,7.158153318887144,0.35300432387252334,18.192209054566785,21.75019507754003,83,34.559146881103516,4694.7568359375,247.1427459716797,49
PVC,silica_fume,25.630231180629416,7.946585927077766,0.3538411204446149,0.6798893139281574,31.080515045598162,88,28.840761184692383,5632.7001953125,199.18896484375,57
LDPE,none,11.121468683628708,2.8384613907803233,0.35973732714859996,20.243052040177886,24.75893186673689,89,53.413291931152344,5943.6669921875,286.2271423339844,20
HDPE,none,11.13223747193768,3.337683790395775,0.35006621401688526,25.398479999220424,25.60914501416024,81,56.46832275390625,6484.22314453125,287.0303039550781,14
LDPE,none,17.963529854231624,5.642144429948074,0.35028398921275844,25.18540558703529,21.714683080355265,83,43.86860656738281,6220.43798828125,257.127197265625,32
PVC,none,1.3422457053739203,3.770909214337884,0.36053936948289306,22.696848178825128,21.20043356988781,83,67.1613998413086,6796.3154296875,344.9225769042969,10
PP,none,24.472509122060817,3.5126076512113595,0.3563320477680547,14.826819603888328,20.689412595843965,89,39.03464126586914,5825.04833984375,241.0171356201172,37
HDPE,none,14.550871595303871,2.987630198512863,0.35204140768820963,25.73810691441065,22.64944059436615,89,50.528324127197266,6425.14794921875,271.8193054199219,22
PVC,fibres,39.17078196812638,7.136857422796757,0.38727552988630337,17.960137462713423,37.22631394085057,82,10.787768363952637,6267.86083984375,133.33456420898438,75
PVC,fibres,34.50789338762367,0.8415829383949212,0.3862957813057135,4.53909848221026,23.81976838975622,89,16.443634033203125,5988.93115234375,167.99072265625,78
PVC,fibres,24.736041209911082,3.7235237993207853,0.35173216878034624,23.851361172002676,21.769616843745172,87,32.00001525878906,5708.89111328125,207.06065368652344,51
HDPE,none,14.676087944441921,2.994807590895533,0.35204140768820963,25.73810691441065,22.64944059436615,81,49.34556198120117,6407.06396484375,270.6836242675781,23
LDPE,none,0.714557417401352,3.7236473082354853,0.35203791343599167,21.46571967847253,22.137822373643605,89,62.35006332397461,6415.37109375,347.3923645019531,17
LDPE,none,9.67607029925323,3.723644741592516,0.3520139064305035,23.979346424135876,22.11296651153526,89,60.097747802734375,6296.7001953125,292.4363708496094,2
PVC,none,37.5977296690642,3.6832548648640513,0.3528130904062833,22.888247098520065,21.381642582738998,89,28.18244743347168,6833.560546875,163.1360321044922,56
PVC,none,3.5373807042188403,3.565890342282267,0.3530423471660908,21.28613373872362,23.583899323758377,89,65.08019256591797,6639.23388671875,327.7763977050781,7
LDPE,fibres,25.320568122333185,3.7235212326778164,0.35170739164397957,15.28369601760971,21.754425939739793,87,30.38726806640625,4735.662109375,225.91036987304688,55
HDPE,none,25.756031876188718,1.7364507346561187,0.3518600785633119,21.523898037382487,31.33064740588558,89,38.815643310546875,6124.21826171875,224.18719482421875,36
PVC,none,37.56314355400749,2.5088948627387713,0.3578476087492501,23.468889368021383,20.834418473178392,88,26.79730224609375,6867.017578125,160.30972290039062,58
PVC,none,38.93290372034534,8.093514681389035,0.373733120178972,1.5866785510434074,31.318016849368973,61,14.60418701171875,5808.45751953125,140.1026611328125,70
LDPE,fibres,38.93290372034534,7.6378662473715195,0.35049764489865115,17.98965490902711,38.42479419883847,34,15.93786334991455,4852.9990234375,168.5859832763672,71
LDPE,silica_fume,38.93290372034534,2.5973458445828257,0.38087184770969423,1.2351787128978469,33.777119652707434,52,11.708731651306152,4776.79248046875,170.51112365722656,79
LDPE,fibres,24.736041209911082,3.7235212326778164,0.35174543658266755,23.98064571958028,21.744760981636823,87,32.17851257324219,4781.79052734375,226.4495391845703,50
PP,none,2.940379985360387,3.5126076512113595,0.3520503021056424,15.449414625381667,20.135813211577467,88,60.719642639160156,6148.93994140625,335.6997985839844,16
LDPE,fibres,18.37330792286985,7.401155514963504,0.40629506402505366,26.4165431683376,21.671805936390125,83,27.85413360595703,4644.8671875,245.9662628173828,61
PVC,fibres,18.34771130545548,1.7923246353428395,0.3510101587160658,24.426706906693553,21.66721481169255,88,37.98093795776367,5502.25634765625,236.0208282470703,42
LDPE,fibres,35.38946195161046,3.2480089964412535,0.3603365768730972,2.89584308783739,21.74534730878651,89,19.207983016967773,4765.1083984375,183.1592254638672,67
PVC,none,5.697276683086152,2.995988187660265,0.35287284554810666,19.616399539009016,21.686150671672866,89,61.44503402709961,6528.2197265625,313.84619140625,9
PVC,silica_fume,19.35249302828244,5.679803238217463,0.3509245236075351,26.708523154409587,21.128638374964474,87,38.459510803222656,5509.33740234375,240.55743408203125,41
PVC,fibres,37.189149764207485,4.293710620366376,0.35069840892911536,17.98965490902711,38.42479419883847,87,19.582435607910156,6219.44482421875,144.0806121826172,63
PVC,none,9.813174568855139,7.284599993896571,0.36375439000185444,23.86679191603021,31.40232131570008,57,54.419822692871094,6587.60302734375,282.8392639160156,19
PVC,none,1.6640373853021604,3.7277817933142408,0.3517362128189502,26.132106326101567,22.182897311271283,89,68.24026489257812,6985.22705078125,341.5559387207031,8
PVC,silica_fume,25.630231180629416,2.9938874071998294,0.3527992241916746,0.6798893139281574,31.080515045598162,87,29.90245819091797,5643.3134765625,197.55067443847656,53
HDPE,none,11.361476045014742,1.7599001144930608,0.35010910316604715,23.908145552953364,42.88089038334013,81,53.91062927246094,6337.62451171875,286.5297546386719,21
LDPE,none,29.193003276926806,4.613820646989602,0.35435983590125997,2.0762434402144256,21.633985752271883,89,28.02387046813965,5011.8154296875,208.49644470214844,59
LDPE,fibres,39.18445505628905,7.135758749930342,0.35216585186393584,22.968460202537365,21.763079643142852,34,17.101285934448242,4799.931640625,180.54248046875,72
